,station_name,station_lat,station_lon,network
136,SCI2,32.9799,-118.546967,CI
137,SCZ,33.995319,-119.634354,CI
138,SCZ2,33.99543,-119.635101,CI
139,SDD,33.552589,-117.661713,CI
140,SDG,32.784,-117.138046,CI
141,SDR,32.735611,-116.942413,CI
142,SES,34.43692,-119.137497,CI
143,SHO,35.899529,-116.275299,CI
144,SLA,35.89095,-117.28332,CI
145,SLH,33.19269,-116.25399,CI
146,SLR,33.833591,-116.797371,CI
147,SMF2,34.02201,-118.44627,CI
148,SMM,35.3142,-119.99581,CI
149,SMS,34.014381,-118.456169,CI
150,SNCC,33.247871,-119.524368,CI
151,SNO,34.035149,-116.807777,CI
152,SOF,33.37055,-117.5574,CI
153,SOT,34.416,-118.448997,CI
154,SPF,34.05933,-118.646141,CI
155,SRN,33.82854,-117.78938,CI
156,SRT,35.692348,-117.750511,CI
157,STC,34.30302,-119.18676,CI
158,STG,33.664001,-117.768562,CI
159,STS,33.790329,-118.198776,CI
160,SVD,34.106468,-117.098221,CI
161,SYP,34.52781,-119.97832,CI
162,TA2,34.38203,-117.678223,CI
163,TEH,35.2913,-118.42079,CI
164,TFT,35.14592,-119.41946,CI
165,THM,33.65066,-116.07734,CI
166,THX,33.634949,-116.164017,CI
167,TOR,33.57526,-116.22584,CI
168,TOV,34.156071,-118.820389,CI
169,TOW2,35.808559,-117.764877,CI
170,TPO,34.87883,-118.22864,CI
171,USC,34.019192,-118.286308,CI
172,VCS,34.48372,-118.11781,CI
173,VES,35.840889,-119.084686,CI
174,VTV,34.56065,-117.329597,CI
175,WAS2,35.7377,-118.55743,CI
176,WBS,35.53664,-118.14035,CI
177,WER,35.060532,-119.027107,CI
178,WGR,34.510849,-119.274071,CI
179,WHF,35.695129,-118.35183,CI
180,WLT,34.00948,-117.950768,CI
181,WOR,35.695629,-118.242462,CI
182,WRC2,35.947899,-117.650383,CI
183,WSS,34.1717,-118.649712,CI
184,WTT,33.948689,-118.25547,CI
185,WTT2,33.94867,-118.25539,CI
186,WWC,33.940681,-116.40876,CI
187,U32A,36.3795,-99.0014,OK
188,X37A,34.5892,-95.3713,OK
189,BABR,44.62132,-123.78924,UW
190,BLOW,44.6837,-122.1862,UW
191,BRAN,45.9734,-117.2277,UW
192,CCRK,46.558498,-119.854797,UW
193,DAVN,47.8006,-118.2741,UW
194,DDRF,46.4911,-119.059502,UW
195,DOSE,47.7172,-122.9718,UW
196,FISH,45.930599,-123.559097,UW
197,FORK,47.9475,-124.5662,UW
198,GNW,47.56413,-122.82498,UW
199,GRCC,47.31237,-122.180283,UW
200,HEBO,45.213501,-123.755386,UW
201,HOOD,45.322262,-121.650932,UW
202,IRON,43.358,-118.4743,UW
203,IZEE,44.082001,-119.504204,UW
204,JEDS,43.75157,-124.04905,UW
205,KENT,45.235699,-120.635101,UW
206,LCCR,45.2059,-122.4784,UW
207,LEBA,46.545898,-123.563202,UW
208,LON,46.750599,-121.809601,UW
209,LRIV,48.0575,-123.504,UW
210,LTY,47.25451,-120.66636,UW
211,MEGW,46.26609,-123.87709,UW
212,MRBL,48.518299,-121.484497,UW
213,OFR,47.933128,-124.396042,UW
214,OMAK,48.3584,-119.3332,UW
215,OPC,48.10009,-123.41291,UW
216,PASS,48.998299,-122.085197,UW
217,PHIN,45.8951,-119.927803,UW
218,RADR,46.42181,-123.79897,UW
219,RAI,46.040298,-122.885101,UW
220,RATT,47.42546,-121.80254,UW
221,RWW,46.964729,-123.543411,UW
222,SEP,46.200211,-122.190598,UW
223,SHUK,48.85284,-121.67695,UW
224,SP2,47.55629,-122.249229,UW
225,SPUD,47.664688,-117.42749,UW
226,SQM,48.073681,-123.048058,UW
227,STOR,47.188099,-121.9888,UW
228,TAKO,43.74313,-124.08337,UW
229,TOLO,44.62161,-123.92305,UW
230,TOLT,47.6947,-121.6895,UW
231,TREE,42.7258,-120.893402,UW
232,TTW,47.69445,-121.690109,UW
233,TUCA,46.513901,-118.1455,UW
234,UMAT,45.2904,-118.9595,UW
235,WISH,47.11698,-123.77118,UW
236,WOLL,47.057301,-118.920998,UW
237,YACT,45.9325,-122.4193,UW
238,ATLB,50.2184,-127.06,CN
239,BMSB,48.8356,-125.1355,CN
240,CBB,50.0315,-125.3652,CN
241,CPLB,48.6118,-124.7512,CN
242,EDB,49.873,-127.1216,CN
243,GHNB,49.3065,-124.2364,CN
244,GLBC,48.396,-123.6363,CN
245,HNB,49.2745,-122.5792,CN
246,HOPB,49.3872,-121.4206,CN
247,JRBC,48.3957,-123.96,CN
248,KHVB,48.5688,-123.4663,CN
249,LLLB,50.609,-121.8815,CN
250,LZB,48.6122,-123.824,CN
251,NLLB,49.2271,-123.9882,CN
252,OZB,48.9612,-125.4978,CN
253,PGC,48.6498,-123.4521,CN
254,PHC,50.7067,-127.433,CN
255,SHB,49.5985,-123.8771,CN
256,SHDB,48.797,-123.636,CN
257,SHVB,48.4723,-123.636,CN
258,SNB,48.7751,-123.1723,CN
259,TASB,49.9266,-126.6513,CN
260,THAB,49.28,-124.9184,CN
261,TLCB,50.5465,-126.8345,CN
262,VGZ,48.4131,-123.3251,CN
263,WISB,50.1265,-122.9212,CN
264,WSLR,50.1266,-122.9212,CN
265,WTRB,50.1298,-126.0353,CN
